K10plus-PPN	Hebis-PPN	Umgelenkte Hebis-PPN 1	Umgelenkte Hebis-PPN 2
017829410	035546042		
017829429	052065413		
017831954	459731645		
017835534	004114876		
017835933	004721330		
017836549	035546433		
017846153	004757858		
01784892X	004853733		
017848989	004352475		
017849101	004942752		
017853087	019904096		
017878950	005363012		
01788215X	004621638		
017886805	004393163		
017911168	004733940		
017921244	459525964		
017921899	004238702		
01792524X	027573354		
017927056	005707757		
017951704	034463844		
017960010	004871413		
017963176	459892738		
017963222	00489765X		
017973244	028073428		
017977118	005377536		
017998794	111233712		
018006744	005309107		
018008453	005747147		
018020941	026398605		
018037658	005870607		
018042376	007452454		
018044220	007510799		
018044247	005746973		
018054285	035929472		
018056261	459682938		
01805627X	459682946		
018056563	005672023		
018113508	006368956		
018270654	01803070X		
018396542	013862022		
018399266	014466643		
018406599	016516907		
018418074	016253868		
018447694	020049412		
018451152	184798450		
018488889	019698933		
018499007	020385633		
018539769	093187661		
018576192	124376614		
018578756	045943656		
018594387	075030500		
018594603	046403744		
018598994	459965352		
018622445	031171257		
018722881	00875828X		
018859038	01272842X		
01895121X	019790201		
018957730	01317584X		
01897130X	035350466		
018971946	016444744		
018982840	014931249		
019009992	019310315		
019036922	102562210		
019040067	022006354		
019086687	102170312		
019107498	459806912		
019121059	011135484		
019121075	017386942		
019133545	035316500		
019148135	05227716X		
019154860	459775464		
019167563	013108700		
019195729	013174886		
01920518X	459564420		
019225644	031047602		
019226861	018112323		
019244274	459806572		
019244649	017893178		
019247648	018112277		
019249993	020123817		
019253427	021658684		
01925783X	013132652		
019265638	013251112		
019270518	012909769		
019278519	020317786		
019282125	012267937		
019291477	012267988		
019298226	459806653		
019306504	012788007		
019307373	013863398		
019307667	013395718		
019312652	013395777		
019314515	035555351		
019317409	013738178		
019319320	011713208		
019320248	01425817X		
019320523	099135914		
019321317	013981838		
019328842	013863223		
019334737	459917625		
019342152	015212289		
019345550	459696815		
019347499	013770101		
019347707	013419838		
019349343	013175777		
019352301	013041037		
019368054	014269546		
019377347	016736028		
019384351	011790563		
01938436X	013619292		
019392974	051800853		
019399316	013619314		
019408978	459702181		
019447299	016099249		
019456840	013420070		
019459173	014286416		
019463650	014269309		
019475705	016470214		
019475829	51484227X		
019483457	016269713		
019487185	45991796X		
019487193	459700677		
019496818	014268337		
01949890X	013769707		
019498918	017087767		
019499035	013131540		
019500351	017076749		
019508891	017373212		
01951106X	076210170		
019513399	012517933		
01951526X	016800567		
019515596	014269228		
019517661	013720864		
019519192	017470463		
019528094	017470412		
019535511	01708993X		
019543549	018354440		
019548605	013210793		
019548788	016670965		
019554222	017805074		
019554303	016506006		
019557698	016806581		
019558805	459573829		
019560583	017805805		
01956404X	014281538		
01956841X	016847377		
019568568	013349767		
019571070	018012728		
019571100	016570480		
019571151	017230330		
01957116X	017077389		
019571186	015989690		
019572212	017778182		
019584024	018023851		
019598548	017788137		
019605358	01705186X		
019612982	01916680X		
019623437	016280407		
019626576	056150342		
019626584	018411746		
019636970	018145485		
019638965	019261489		
01964258X	019218265		
019647689	017806046		
019652593	01888721X		
019657811	459751956		
019663218	019274912		
019665393	020377150		
019666306	459624482		
019684142	019216742		
019685866	020042507		
019687966	013863568		
019692781	02161556X		
019695527	020087098		
019695675	019448147		
019707312	01818037X		
019709927	023132728		
019715560	459720880		
019718055	020134975		
019724624	020042310		
019730497	021044945		
019744579	459634992		
019752407	013397702		
019752423	016830695		
019754493	021912386		
019757484	016280504		
019765878	018338593		
019766017	459757571		
019769563	01935309X		
019771312	017470781		
019772475	017318300		
019779860	017805015		
019781040	019682840		
019782144	017090814		
019784171	019400713		
01978449X	019182066		
019787804	048793442		
019791046	074794302		
019796080	07489823X		
019797443	032782721		
019800177	046842330		
019816987	075970031		
019817002	053920856		
019817053	079392784		
019835590	074770632		
019857772	056246021		
01986227X	075876582		
01986549X	084236930		
019865716	079696937		
019865724	076741788		
019866755	459696211		
019866844	186032811		
019881738	45983388X		
019887116	02682969X		
019888376	060716932		
019895496	076410595		
01990584X	035571497		
019909098	026766299		
019911122	054146852		
019920229	025979647		
019921861	032550901		
019934955	079398839		
019960379	029046955		
019960530	075895323		
019969538	074640879		
019983298	029376467		
019985711	079946372		
019992947	026124955		
019997841	032240767		
02000933X	459691287		
020010257	463081382		
02001032X	459570064		
020012675	076502880		
020012764	074662112		
020014678	220261458		
020014783	055837212		
020017731	024798835		
020021844	07462492X		
020025149	108218716		
020038402	04877622X		
020041934	459931105		
020050283	049029509		
020053010	091098653		
020054815	035501324		
020062044	098127063		
020065930	083932380		
020066031	049193198		
020067615	075043858		
020071698	129517771		
020071728	381105830		
02007350X	046400850		
020074522	091313708		
020074530	090670183		
020079532	09131481X		
020081308	031627749		
02008160X	098477706		
020082592	030514517		
020089597	006921558		
020090137	075027534		
02009194X	034012354		
020092806	106333755		
020098065	030553172		
020099533	45986999X		
02010958X	080569625		
020114923	074824031		
02011494X	079362532		
020118996	045982627		
020119380	049438972		
020122799	052069885		
020125828	459928406		
020126751	096122005		
020126859	030335736		
020129602	426361199		
020132042	023309350		
020137540	459571028		
020152701	075025396		
020153643	00740588X		
020161026	074770616		
020161662	035318295		
020172400	035484152		
020177720	080921825		
020177844	029248663		
02018123X	220821038		
020181795	07504188X		
020181973	029518342		
020181981	030033365		
02018252X	030877083		
020184581	096089849		
020193157	121854868		
020193564	032600259		
020193572	027364747		
020194064	120434911		
020197691	076650928		
020203659	104465603		
020205929	030501083		
020205945	076516849		
02021166X	459569953		
020216580	095700412		
020217218	033984565		
020228392	057913986		
020235569	459780557		
020241712	076393100		
020247001	075999803		
020263376	179967584		
020277008	029873681		
020277423	029981522		
020286058	009089942		
020292910	459757229		
02029493X	030327784		
