k10plus-PPN	hebis-PPN	k10plus-EPN	hebis-EPN	206X
015384683	006098541	600448119X	1082841676	HEB1082841676
015389006	010271279	6004089796	1082706183	HEB1082706183
015392511	006377696	600448475X	1082909467	HEB1082909467
015393356	010708995	6004097373	1082803421	HEB1082803421
015394115	010085939	6004087289	1082842427	HEB1082842427
015398919	001087533	6004100129	1082842370	HEB1082842370
015400972	006497128	6004485349	108279970X	HEB108279970X
015409457	007255926	6004489158	108285414X	HEB108285414X
015416666	010104313	6004087327	1082783056	HEB1082783056
015420485	011323043	6004107298	1082827428	HEB1082827428
015422828	006497020	6004485330	1082832537	HEB1082832537
015427145	459572768	6004257060	1082662232	HEB1082662232
015431118	010175873	6004088471	108281539X	HEB108281539X
015432068	011025360	6004102229	1082832928	HEB1082832928
015432149	010708030	6004097330	1082849596	HEB1082849596
015432351	011107146	6004103578	108283887X	HEB108283887X
01543236X	011374292	6004108006	1082924415	HEB1082924415
015434494	011288728	600410681X	1082909408	HEB1082909408
015435873	011447419	6004109347	1082832421	HEB1082832421
015441830	011723882	6004112100	1082839698	HEB1082839698
015442497	011967382	6004114723	1082803014	HEB1082803014
015455971	012079375	6004115711	1082799211	HEB1082799211
015465764	011888407	6004113743	1082806935	HEB1082806935
015472604	011724862	6004112151	1082905682	HEB1082905682
015473082	01226797X	600411832X	1082829277	HEB1082829277
015474321	011767693	6004112275	1082780995	HEB1082780995
015474321	011767693	6004112283	1082781002	HEB1082781002
015474321	011767693	6004112291	1082781010	HEB1082781010
015486362	011643609	6004111546	1082799769	HEB1082799769
015489973	01161952X	6004111392	1083119524	HEB1083119524
015490637	01287552X	6004127396	1082851558	HEB1082851558
015490955	013572954	6004134600	1082606170	HEB1082606170
015490955	013572954	6004134619	1083268392	HEB1083268392
015494578	011893915	6004113875	1082853755	HEB1082853755
015494578	011893915	6004113883	1082853763	HEB1082853763
015497771	013466674	6004133337	1082894877	HEB1082894877
015505111	013395637	6004132500	1082832448	HEB1082832448
015507165	012949043	6004128333	1082818585	HEB1082818585
01550851X	013769715	6004135763	1082856762	HEB1082856762
01550851X	013769715	6004135771	1082856770	HEB1082856770
01551157X	013476971	600413354X	1083119982	HEB1083119982
015520218	012622826	6004124362	1082852201	HEB1082852201
015540308	011643900	6004111570	1082854239	HEB1082854239
01554446X	016834003	6004141054	1082860298	HEB1082860298
015544532	014312093	6004137782	1082786578	HEB1082786578
015545156	014138069	6004136956	1082805734	HEB1082805734
01554723X	017304903	6004142174	1083198378	HEB1083198378
015547248	016834062	6004141062	1082650420	HEB1082650420
015553566	011389591	6004108146	1082813443	HEB1082813443
015561747	080465447	6004500240	1082831913	HEB1082831913
015566250	080574319	6004500593	1082830712	HEB1082830712
015568261	029248442	600420904X	1083145568	HEB1083145568
015579948	004582888	6004251321	1082824496	HEB1082824496
015581233	080629806	6004500828	1082819549	HEB1082819549
015581454	032798911	6004223875	108310313X	HEB108310313X
015584232	080251897	600449965X	1082857823	HEB1082857823
015587592	080626661	600450081X	108279631X	HEB108279631X
015589137	080755739	6004501123	1082811815	HEB1082811815
015599213	080716199	6004501050	1122674708	HEB1122674708
015601080	080882269	6004501352	108282593X	HEB108282593X
015601080	080882269	6004501360	1082825948	HEB1082825948
015607070	079324398	6004497207	1082788015	HEB1082788015
015607070	079324398	6004497215	1082788023	HEB1082788023
015607739	071663797	6004487252	1082822299	HEB1082822299
015613143	022317104	6004182761	108289236X	HEB108289236X
015613569	080848087	6004501263	1082803448	HEB1082803448
015614697	459695541	6004313238	1082854867	HEB1082854867
015629139	08129672X	6004502162	1083107151	HEB1083107151
015629821	08123905X	6004501999	1082850225	HEB1082850225
015635546	459702459	6004547670	1082862657	HEB1082862657
015654109	026771241	6004198463	108278768X	HEB108278768X
015658562	081629311	6004502901	1082805149	HEB1082805149
015660893	08147797X	6004502529	108282173X	HEB108282173X
015667456	011112506	6004103810	1082828890	HEB1082828890
01567018X	081641923	6004502944	108282934X	HEB108282934X
015682269	081742142	6004503290	1082830909	HEB1082830909
015682544	026459299	6004197122	1082851450	HEB1082851450
015684016	081589700	6004502820	1082824283	HEB1082824283
015690199	034098313	6004228583	1082840777	HEB1082840777
015691098	081616600	6004502871	1082816175	HEB1082816175
015691292	081588763	6004502812	1082816051	HEB1082816051
015698912	021425027	6004175730	1082799726	HEB1082799726
015698912	021425027	6004175749	1082799734	HEB1082799734
015700186	027364666	6004201006	1082838381	HEB1082838381
015700240	11209497X	6004105449	1082802980	HEB1082802980
015703541	052404390	6004453099	1082723118	HEB1082723118
015711315	032872089	600422412X	1082831034	HEB1082831034
01571229X	112714285	6004106380	1082806447	HEB1082806447
015712761	004586182	600425150X	1082822442	HEB1082822442
015712761	004586182	6004251518	1082822450	HEB1082822450
015713474	006690203	6004485551	1082824437	HEB1082824437
